Energy (keV),Intensity (CPS)
-10.759704282608876,0.0
9.280488524837768,0.0
29.320681332284412,0.0
49.36087413973105,0.0
69.4010669471777,0.0
89.44125975462434,0.0
109.48145256207098,0.0
129.5216453695176,0.0
149.56183817696427,0.0
169.60203098441093,0.0
189.64222379185756,0.0
209.6824165993042,0.0
229.72260940675085,0.0
249.7628022141975,0.0
269.8029950216441,0.0
289.84318782909077,0.0
309.8833806365374,1.0970788143252832
329.9235734439841,0.0
349.96376625143074,0.0
370.00395905887734,0.0
390.044151866324,0.0
410.08434467377066,0.0
430.12453748121726,1.0970788143252832
450.1647302886639,0.0
470.2049230961106,0.0
490.24511590355723,0.0
510.2853087110039,1.0970788143252832
530.3255015184506,2.1941576286505664
550.3656943258972,2.1941576286505664
570.4058871333439,1.0970788143252832
590.4460799407905,0.0
610.4862727482372,1.0970788143252832
630.5264655556838,0.0
650.5666583631304,0.0
670.6068511705771,0.0
690.6470439780237,2.1941576286505664
710.6872367854704,0.0
730.727429592917,0.0
750.7676224003636,0.0
770.8078152078103,0.0
790.8480080152569,0.0
810.8882008227035,1.0970788143252832
830.9283936301503,0.0
850.9685864375969,0.0
871.0087792450435,1.0970788143252832
891.0489720524902,0.0
911.0891648599368,0.0
931.1293576673835,0.0
951.1695504748301,1.0970788143252832
971.2097432822767,0.0
991.2499360897234,0.0
1011.29012889717,1.0970788143252832
1031.3303217046166,0.0
1051.3705145120632,0.0
1071.4107073195098,0.0
1091.4509001269564,0.0
1111.491092934403,1.0970788143252832
1131.5312857418498,0.0
1151.5714785492964,3.2912364429758494
1171.611671356743,1.0970788143252832
1191.6518641641896,3.2912364429758494
1211.6920569716362,0.0
1231.732249779083,1.0970788143252832
1251.7724425865297,0.0
1271.8126353939763,1.0970788143252832
1291.8528282014229,1.0970788143252832
1311.8930210088695,0.0
1331.9332138163163,0.0
1351.973406623763,1.0970788143252832
1372.0135994312095,2.1941576286505664
1392.0537922386561,0.0
1412.0939850461027,2.1941576286505664
1432.1341778535495,0.0
1452.1743706609961,1.0970788143252832
1472.2145634684427,1.0970788143252832
1492.2547562758893,1.0970788143252832
1512.294949083336,0.0
1532.3351418907826,0.0
1552.3753346982294,0.0
1572.415527505676,0.0
1592.4557203131226,0.0
1612.4959131205692,0.0
1632.5361059280158,0.0
1652.5762987354626,0.0
1672.6164915429092,0.0
1692.6566843503558,1.0970788143252832
1712.6968771578024,0.0
1732.737069965249,0.0
1752.7772627726956,1.0970788143252832
1772.8174555801425,0.0
1792.857648387589,0.0
1812.8978411950357,0.0
1832.9380340024823,0.0
1852.9782268099289,0.0
1873.0184196173757,1.0970788143252832
1893.0586124248223,0.0
1913.098805232269,0.0
1933.1389980397155,0.0
1953.179190847162,0.0
1973.219383654609,1.0970788143252832
1993.2595764620555,0.0
2013.2997692695021,1.0970788143252832
2033.3399620769487,1.0970788143252832
2053.380154884396,2.1941576286505664
2073.4203476918424,0.0
2093.460540499289,0.0
2113.5007333067356,0.0
2133.540926114182,1.0970788143252832
2153.581118921629,1.0970788143252832
2173.6213117290754,0.0
2193.661504536522,0.0
2213.7016973439686,0.0
2233.741890151415,0.0
2253.7820829588622,1.0970788143252832
2273.822275766309,0.0
2293.8624685737555,1.0970788143252832
2313.902661381202,1.0970788143252832
